List of TASE Companies,,,,,,,,,,,
As of 20/02/2026
Name,TASE Sector,Issuer No.,Corporate No.,Incorporation,Website,Market Cap (K ILS),Full Name,Address,Phone,Fax,E-Mail
ABOU RESIDENC,Real-Real-Estate & Construction-Investment-Proerties In Israel,1863,515724706,Israel,www.abou-reit.co.il,410956,ABOU FAMILY RESIDENCE LTD,,08-6647148,,hayak@abultd.com
ABRA,High-Tech-Technology-IT Services,1397,512512468,Israel,www.abra-it.com/en                                ,452065,ABRA INFORMATION TECHNOLOGIES LTD.,,073-2770000,073-2770001,noam@abra-it.com
ACCEL,High-Tech-Technology-IT Services,770,520031345,Israel,www.accel.co.il                                   ,304452,ACCEL SOLUTIONS GROUP LTD,,03-3733433, 077-3180962,zohar@accel.co.il
ACKERSTEIN GRO,Real-Industry-Metal & Building Products,1896,512714494,Israel,www.ackerstein.co.il/profile,2839511,ACKERSTEIN GROUP LTD,,09-9596622,09-9543130,saare@ackerstein.co.il
ACRO,Real-Real-Estate & Construction-Construction,2360,511996803,Israel,www.acronadlan.com/en                             ,3203119,KVUTZAT ACRO LTD,,09-9718900,03-9718901,info@acrogrp.com
ADAMA,"Real-Industry-Chemical, Rubber & Plastic",1063,520043605,Israel,www.adama.com                                     ,0,ADAMA AGRICULTURAL SOLUTIONS LTD.,,073-2321000,073-2321937,ruby.newman@adama.com
ADGAR INV.,Real-Real-Estate & Construction-Investment-Proerties Abroad,182,520035171,Israel,www.adgar.com                                     ,858371,ADGAR INVESTMENT & DEVELOPMENT LTD,,03-6251400,03-9191911,liat@adgar.com
AERODROME GROUP,High-Tech-Technology-Defence,363,520037607,Israel,www.aerodrome-ops.com                             ,67873,AERODROME GROUP LTD,,072-2608093,03-6195131,office@aerodrome-ops.com
AEROSPACE INDUS,High-Tech-Technology-Defence,1457,520027194,Israel,www.iai.co.il                                     ,0,ISRAEL AEROSPACE INDUSTRIES LTD,,03-9358562,03-9354267,eanchikovsky@iai.co.il
AFCON HOLDINGS,Real-Investment & Holdings-Investment & Holdings,578,520033473,Israel,www.afcon.co.il/en                                ,1851897,AFCON HOLDINGS LTD.,,073-2001333,03-9216491,gilb@afcon.co.il
AFI PROPERTIES,Real-Real-Estate & Construction-Investment-Proerties Abroad,1172,510560188,Israel,www.afi-properties.com/?lang=en                   ,10559858,AFI PROPERTIES LTD,,03-5393562,03-5393523,eranf@afi.global
AFRICA RESIDENC,Real-Real-Estate & Construction-Construction,1338,520034760,Israel,res.afi-g.com/en                                  ,3940136,AFRICA ISRAEL RESIDENCES LTD.,,03-7402500,03-5119301,gilc@wblaw.co.il
AGELLAN,Real-Real-Estate & Construction-Investment-Proerties Abroad,2482,002352046,Canada,,0,AGELLAN COMMERCIAL REIT HOLDINGS INC,,03-6133355,,info@agellancapital.com
AIRENGY TECH,High-Tech-Technology-Cleantech,1473,513961334,Israel,www.airengy.com                                   ,261906,AIRENGY TECH LTD,,054-9988910,00-00000000,info@airengy.com
AIRPORT CITY,Real-Real-Estate & Construction-Investment-Proerties In Israel,1300,511659401,Israel,,6651948,AIRPORT CITY LTD,,073-2333900,073-2333999,liorp@equital-group.com
AIRTOUCH,High-Tech-Technology-Robotics & 3d,1862,515509347,Israel,www.airtouchsolar.com                             ,14678,AIRTOUCH SOLAR LTD,,073-2100660,02-6474383,info@airtouchsolar.com
ALARUM TECHNO,High-Tech-Technology-Software And Internet,1091,511418477,Israel,www.alarum.io                                     ,163638,ALARUM TECHNOLOGIES LTD,,09-8666110,03-6447789,info@alarum.io
ALBAAD,Real-Industry-Wood & Paper,625,520040205,Israel,www.albaad.com                                    ,619470,ALBAAD MASSUOT YITZHAK LTD.,,08-8607222,08-8501102,yaronl@albaad.com
ALBAR,Real-Commerce & Services-Services,1382,512025891,Israel,www.albar.co.il/about-us                          ,0,ALBAR MIMUNIT SERVICES LTD,,03-6151501,03-6151015,corp_sec@albar.co.il
ALBEN,Real-Real-Estate & Construction-Investment-Proerties In Israel,491,520039827,Israel,,0,AL-BEN PROPERTY & INVESTMENT CO. LTD.,,054-6665818,,dovb@toveihair.co.il
ALLMED SOLUTION,High-Tech-Biomed-Medical Devices,1393,513488833,Israel,www.almd-solutions.com                            ,36007,ALLMED SOLUTIONS LTD,,074-7650353,074-7650354,info@almd-solutions.com
ALLOT,High-Tech-Technology-Software And Internet,2252,512394776,Israel,www.allot.com                                     ,1525345,ALLOT LTD,,09-7619200,09-7443626,legal@allot.com
ALMA YESODOT,Real-Investment & Holdings-Investment & Holdings,1857,515116192,Israel,www.almainfra.com,264514,ALMA YESODOT LTD,,09-9715342,,office@almainfra.com
ALMEDA VENTURES,High-Tech-Biomed-Investments In Life Science,1814,540296795,Israel,www.almedaventures.com                            ,44474,ALMEDA VENTURES LIMITED PARTNERSHIP,,09-7885599,03-6124545,irit@almedaventures.com
ALMOG,Real-Real-Estate & Construction-Construction,2481,511229676,Israel,,0,ALMOG C.D.A.I LTD,,08-9428282,,office@almog-ltd.com
ALMOGIM HOLDING,Real-Real-Estate & Construction-Construction,1553,513988824,Israel,www.almogim.co.il/en                              ,484109,ALMOGIM HOLDINGS LTD,,04-8577080,04-8577081,info@almogim.co.il
ALON BLUE SQUAR,Real-Investment & Holdings-Investment & Holdings,2063,520042847,Israel,,0,ALON BLUE SQUARE ISRAEL LTD,,03-9284201,03-9284218,aviramg@bsi.co.il
ALONY HETZ,Real-Real-Estate & Construction-Investment-Proerties In Israel,390,520038506,Israel,www.alony-hetz.com                                ,8370980,ALONY HETZ PROPERTIES & INVESTMENTS LTD.,,03-7521115,03-7514730,office@alony-hetz.com
ALROV PROPERT,Real-Real-Estate & Construction-Investment-Proerties Abroad,387,520038894,Israel,www.alrov.co.il                                   ,5338369,ALROV PROPERTIES & LODGINGS LTD.,,03-7147777,03-7147778,info@alrov.co.il
ALTITUDE INVEST,Real-Real-Estate & Construction-Investment-Proerties Abroad,1729,1963039,Virgin Islands (UK),,0,"ALTITUDE INVESTMENTS, LTD",,03-6944249,03-6944157,raizen@fbclawyers.com
ALTSHULER FINA,Finance-Financial Services-Financial Services,2367,516508603,Israel,www.as-invest.co.il/en                            ,1117095,ALTSHULER SHAHAM FINANCE LTD,,073-2331500,073-2462700,osnat@altshul.co.il
ALUMA,Real-Investment & Holdings-Investment & Holdings,1978,516214871,Israel,en.aii.co.il                                      ,316078,ALUMA INFRASTRUCTURE FUND (2020) LTD,,03-7446442,03-7446443,office@aii.co.il
AMAL HOLDINGS,Real-Commerce & Services-Services,2516,511295412,Israel,,2676800,AMAL HOLDINGS A.D LTD,,054-9292628,,yiftach@amalgroup.co.il
AMANET,Real-Commerce & Services-Services,654,520040833,Israel,www.amanet.co.il/en                               ,131089,AMANET MANAGEMENT & SYSTEMS LTD.,, 03-7659555,03-6440125,amanet@amanet.co.il
AMERICAN EQUITY,Real-Real-Estate & Construction-Investment-Proerties Abroad,2468,2160207,Virgin Islands (UK),,0,AMERICAN EQUITY PARTNERS LIMITED,,03-6111000
AMIAD,"Real-Industry-Chemical, Rubber & Plastic",2234,512497694,Israel,www.amiad.com                                     ,235769,AMIAD WATER SYSTEMS LTD,,04-6909500,04-8141159,beng@amiad.com
